place,lat,lon,reg,web
Split,43.51560741,16.45331307,E,"https://en.wikipedia.org/wiki/Split,_Croatia"
Amman,31.91456489,35.91211981,A,https://en.wikipedia.org/wiki/Amman
Luxembourg,49.60363641,6.123805299,E,https://en.wikipedia.org/wiki/Luxembourg_City
Cordoba,37.89193904,-4.780021733,E,"https://en.wikipedia.org/wiki/Córdoba,_Spain"
Pskov,57.81109117,28.36071898,E,https://en.wikipedia.org/wiki/Pskov
Granada,37.18093808,-3.599511927,E,https://en.wikipedia.org/wiki/Granada
Odessa,46.45409943,30.73099908,E,https://en.wikipedia.org/wiki/Odesa
Tbilisi,41.71385237,44.82919922,A,https://en.wikipedia.org/wiki/Tbilisi
Zürich,47.37917657,8.522291625,E,https://en.wikipedia.org/wiki/Zürich
New York,40.69472811,-73.97969654,P,https://en.wikipedia.org/wiki/New_York_City
Ljubljana,46.06454806,14.52246908,E,https://en.wikipedia.org/wiki/Ljubljana
Lissabon,38.72780249,-9.156454173,E,https://en.wikipedia.org/wiki/Lisbon
Kiiev,50.4328164,30.55761506,E,https://en.wikipedia.org/wiki/Kyiv
Sintra,38.80252786,-9.380459904,E,https://en.wikipedia.org/wiki/Sintra
Rooma,41.87871443,12.49157663,E,https://en.wikipedia.org/wiki/Rome
Capri,40.54941845,14.23277508,E,https://en.wikipedia.org/wiki/Capri
Kairo,30.07111587,31.27958629,F,https://en.wikipedia.org/wiki/Cairo
Sarajaevo,43.85228163,18.39698801,E,https://en.wikipedia.org/wiki/Sarajevo
Wroclaw,51.10616081,17.03710802,E,https://en.wikipedia.org/wiki/Wrocław
Rhodos,36.37836721,28.15532944,E,https://en.wikipedia.org/wiki/Rhodes
Kreeta,35.23601688,25.10461091,E,https://en.wikipedia.org/wiki/Crete
Barcelona,41.39508057,2.158750255,E,https://en.wikipedia.org/wiki/Barcelona
Agadir,30.40371563,-9.567456916,F,https://en.wikipedia.org/wiki/Agadir
Budapest,47.48712531,19.08086745,E,https://en.wikipedia.org/wiki/Budapest
Gdansk,54.36098396,18.62341506,E,https://en.wikipedia.org/wiki/Gdańsk
Napoli,40.86336433,14.20987026,E,https://en.wikipedia.org/wiki/Naples
Ankara,39.93628267,32.81513236,A,https://en.wikipedia.org/wiki/Ankara
Sitsiilia,37.58800912,14.40326151,E,https://en.wikipedia.org/wiki/Sicily
Grand Canyon,36.09925861,-112.1121508,P,https://en.wikipedia.org/wiki/Grand_Canyon
Sharm El-Sheikh,27.93557356,34.36540504,F,https://en.wikipedia.org/wiki/Sharm_El_Sheikh
Istanbul,41.0191268,29.02322767,A,https://en.wikipedia.org/wiki/Istanbul
Antalya,36.90670775,30.71599115,A,https://en.wikipedia.org/wiki/Antalya
Cesky Krumlov,48.81446894,14.31974163,E,https://en.wikipedia.org/wiki/Český_Krumlov
Isle of Wight,50.67342284,-1.290692871,E,https://en.wikipedia.org/wiki/Isle_of_Wight
Nagoya,35.16897108,136.9091245,A,https://en.wikipedia.org/wiki/Nagoya
Peking,39.86938557,116.3713924,A,https://en.wikipedia.org/wiki/Beijing
Konya,37.86171568,32.49339657,A,https://en.wikipedia.org/wiki/Konya
Amalfi,40.62928657,14.58737502,E,https://en.wikipedia.org/wiki/Amalfi
Belfast,54.5904986,-5.93564589,E,https://en.wikipedia.org/wiki/Belfast
Moskva,55.72069463,37.58823534,E,https://en.wikipedia.org/wiki/Moscow
Singapur,1.348312375,103.8380859,A,https://en.wikipedia.org/wiki/Singapore
Pariis,48.85884358,2.346715481,E,https://en.wikipedia.org/wiki/Paris
Haapsalu,58.93647132,23.54525083,E,https://en.wikipedia.org/wiki/Haapsalu
Skopje,41.97867642,21.44822881,E,https://en.wikipedia.org/wiki/Skopje
Ventspils,57.39387313,21.56584399,E,https://en.wikipedia.org/wiki/Ventspils
Rio de Janeiro,-22.92412515,-43.24544949,L,https://en.wikipedia.org/wiki/Rio_de_Janeiro
Livingo,46.53846894,10.13846355,E,https://en.wikipedia.org/wiki/Livigno
Canberra,-35.31399891,149.1208385,O,https://en.wikipedia.org/wiki/Canberra
Talsi,57.24323085,22.57809479,E,https://en.wikipedia.org/wiki/Talsi
Mariehamn,60.10088482,19.93617183,E,https://en.wikipedia.org/wiki/Mariehamn
Praha,50.07116222,14.4409581,E,https://en.wikipedia.org/wiki/Prague
Valletta,35.89844574,14.51359405,E,https://en.wikipedia.org/wiki/Valletta
Tromsö,69.65450834,18.95578797,E,https://en.wikipedia.org/wiki/Tromsø
Inari,68.90822045,27.0126129,E,"https://en.wikipedia.org/wiki/Inari,_Finland"
Monte Carlo,43.74080469,7.428116113,E,https://en.wikipedia.org/wiki/Monte_Carlo
Sanremo,43.82346408,7.784545486,E,https://en.wikipedia.org/wiki/Sanremo
Tallinn,59.42348674,24.74918936,E,https://en.wikipedia.org/wiki/Tallinn
Kuressaare,58.24715118,22.50069057,E,https://en.wikipedia.org/wiki/Kuressaare
Almatõ,43.24868658,76.91402743,A,https://en.wikipedia.org/wiki/Almaty
Riia,56.93963958,24.09416348,E,https://en.wikipedia.org/wiki/Riga
Tenerife,28.27645659,-16.6036726,E,https://en.wikipedia.org/wiki/Tenerife
Isle of Man,54.246235,-4.534880299,E,https://en.wikipedia.org/wiki/Isle_of_Man
London,51.51660537,0.115343019,E,https://en.wikipedia.org/wiki/London
St. Peterburg,59.96994762,30.37963445,E,https://en.wikipedia.org/wiki/Saint_Petersburg
Viin,48.19596414,16.37047179,E,https://en.wikipedia.org/wiki/Vienna
Vaduz,47.13571831,9.518987833,E,https://en.wikipedia.org/wiki/Vaduz
Kaliningrad,54.70721347,20.5078335,E,https://en.wikipedia.org/wiki/Kaliningrad
Klaipeda,55.71268792,21.15310495,E,https://en.wikipedia.org/wiki/Klaipėda
Leipzig,51.34177603,12.3771867,E,https://en.wikipedia.org/wiki/Leipzig
Trento,46.059333,11.12757327,E,https://en.wikipedia.org/wiki/Trento
Tammisaari,59.97506422,23.45246645,E,"https://en.wikipedia.org/wiki/Ekenäs,_Finland"
Palanga,55.92769512,21.08806302,E,https://en.wikipedia.org/wiki/Palanga
Narva,59.37515394,28.17197847,E,https://en.wikipedia.org/wiki/Narva
Stockholm,59.32085357,18.06993048,E,https://en.wikipedia.org/wiki/Stockholm
Bishkek,42.86072766,74.5808398,A,https://en.wikipedia.org/wiki/Bishkek
Dublin,53.33907996,-6.265604099,E,https://en.wikipedia.org/wiki/Dublin
Ateena,37.98826624,23.73250299,E,https://en.wikipedia.org/wiki/Athens
Rügen,54.40102829,13.4415867,E,https://en.wikipedia.org/wiki/Rügen
Visby,57.63068863,18.30240979,E,https://en.wikipedia.org/wiki/Visby
Munchen,48.12602545,11.59129274,E,https://en.wikipedia.org/wiki/Munich
Vilnius,54.67918182,25.28452228,E,https://en.wikipedia.org/wiki/Vilnius
Mallorca,39.58579419,2.985693285,E,https://en.wikipedia.org/wiki/Mallorca
Brüssel,50.85187112,4.354132929,E,https://en.wikipedia.org/wiki/Brussels
Amsterdam,52.36468069,4.896426276,E,https://en.wikipedia.org/wiki/Amsterdam
Bornholmn,55.12193423,14.94522267,E,https://en.wikipedia.org/wiki/Bornholm
Algarve,37.10538065,-8.322063648,E,https://en.wikipedia.org/wiki/Algarve
Oslo,59.91466508,10.77295028,E,https://en.wikipedia.org/wiki/Oslo
Gran Canaria,27.95409692,-15.56901039,E,https://en.wikipedia.org/wiki/Gran_Canaria
Köln,50.94859697,6.95701291,E,https://en.wikipedia.org/wiki/Cologne
Sydney,-33.89698966,151.2068317,O,https://en.wikipedia.org/wiki/Sydney
Hannover,52.36876445,9.732628736,E,https://en.wikipedia.org/wiki/Hanover
Göteborg,57.69942964,11.97072651,E,https://en.wikipedia.org/wiki/Gothenburg
Kopenhagen,55.68478866,12.56497716,E,https://en.wikipedia.org/wiki/Copenhagen
Antwerpen,51.21148157,4.412647251,E,https://en.wikipedia.org/wiki/Antwerp
Võru,57.84078828,27.00918613,E,https://en.wikipedia.org/wiki/Võru
Strasbourg,48.56951966,7.746274451,E,https://en.wikipedia.org/wiki/Strasbourg
Jerusalem,31.7662571,35.21311301,A,https://en.wikipedia.org/wiki/Jerusalem
Milano,45.46752984,9.187343983,E,https://en.wikipedia.org/wiki/Milan
Mayrhofen,47.16802393,11.86374703,E,https://en.wikipedia.org/wiki/Mayrhofen
Hamburg,53.53399942,9.993471204,E,https://en.wikipedia.org/wiki/Hamburg
Frankfurt,50.10489516,8.67706798,E,https://en.wikipedia.org/wiki/Frankfurt
Kuurne,50.85507505,3.286426982,E,https://en.wikipedia.org/wiki/Kuurne
Cancun,21.15752531,-86.8530061,P,https://en.wikipedia.org/wiki/Cancún
Nordkapp,70.88748009,26.56951679,E,https://en.wikipedia.org/wiki/Nordkapp
Krakow,50.05909365,19.93893411,E,https://en.wikipedia.org/wiki/Kraków
St. Tropez,43.26986586,6.641809395,E,https://en.wikipedia.org/wiki/Saint-Tropez
Shanghai,31.17234928,121.5448164,A,https://en.wikipedia.org/wiki/Shanghai
Mir,53.45390418,26.46818591,E,"https://en.wikipedia.org/wiki/Mir,_Belarus"
Bali,-8.362995648,115.151236,A,https://en.wikipedia.org/wiki/Bali
